image_path,disease_name,fertilizer_recommendation,description
images/leaf_53.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_54.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_55.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_56.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_57.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_58.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_59.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_60.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_61.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_62.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_63.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_64.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_65.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_66.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_67.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_68.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_69.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_70.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_71.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_72.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_73.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_74.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_75.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_76.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_77.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_78.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_79.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_80.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_81.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_82.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_83.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_84.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_85.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_86.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_87.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_88.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_89.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_90.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_91.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_92.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_93.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_94.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_95.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_96.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_97.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_98.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_99.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_100.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_101.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_102.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_103.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_104.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_105.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_106.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_107.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_108.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_109.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_110.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_111.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_112.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_113.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_114.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_115.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_116.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_117.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_118.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_119.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_120.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_121.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_122.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_123.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_124.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_125.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_126.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_127.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_128.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_129.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_130.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_131.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_132.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_133.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_134.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_135.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_136.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_137.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_138.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_139.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_140.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_141.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_142.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_143.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_144.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_145.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_146.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_147.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_148.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_149.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_150.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_151.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_152.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_153.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_154.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_155.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_156.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_157.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_158.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_159.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_160.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_161.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_162.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_163.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_164.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_165.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_166.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_167.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_168.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_169.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_170.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_171.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_172.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_173.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_174.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_175.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_176.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_177.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_178.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_179.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_180.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_181.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_182.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_183.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_184.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_185.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_186.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_187.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_188.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_189.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_190.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_191.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_192.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_193.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_194.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_195.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_196.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_197.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_198.jpg,Grassy Shoot,Balanced NPK fertilizer,Shoots become pale green and skinny; reduces yield and vigor.
images/leaf_199.jpg,Yellow Leaf Syndrome,Potassium and Magnesium fertilizer,Leaves turn yellow from tip to base; viral disease affecting growth.
images/leaf_200.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_201.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_202.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_203.jpg,Leaf Mosaic,Nitrogen and Potassium fertilizer,"Mosaic pattern on leaves, viral infection reducing growth and yield."
images/leaf_204.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_205.jpg,Leaf Blast,Potassium and Magnesium fertilizer,Brown spots with concentric rings; fungal disease affecting photosynthesis.
images/leaf_206.jpg,Top Shoot Borer,Nitrogen-rich fertilizer,Larvae bore into the shoot tips causing drying and death of the top shoot.
images/leaf_207.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_208.jpg,Red Stripe,Nitrogen and Phosphorus fertilizer,Red stripes on leaves; bacterial disease that weakens the plant.
images/leaf_209.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_210.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_211.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_212.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_213.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_214.jpg,Leaf Spot,Nitrogen and Potassium fertilizer,Small dark spots on leaves; may merge causing necrotic areas.
images/leaf_215.jpg,Rust,Balanced NPK fertilizer,Orange-brown pustules on leaf surface; lowers yield.
images/leaf_216.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_217.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_218.jpg,Leaf Scald,Potassium and Zinc fertilizer,"Causes white streaks and chlorosis on leaves, reduces photosynthesis."
images/leaf_219.jpg,Red Rot,Nitrogen-rich fertilizer,A fungal disease causing red lesions on leaves and stalks.
images/leaf_220.jpg,Anthracnose (Leaf Stage),Phosphorus-rich fertilizer,Dark lesions with concentric rings on leaves; spreads in humid conditions.
images/leaf_221.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_222.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_223.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_224.jpg,Smut,Phosphorus-rich fertilizer,Black whip-like growths on the plant; fungal disease causing yield loss.
images/leaf_225.jpg,Wilt Symptoms,Balanced NPK fertilizer,"Leaves curl, yellow and wilt; usually from root/stalk infection."
images/leaf_226.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
images/leaf_227.jpg,Powdery Mildew,Potassium-rich fertilizer,White powdery coating on leaves; reduces photosynthesis.
